last_issue,color,value
2025501074,green,3
2025501075,red,4
2025501076,red,0
2025501077,red,2
2025501078,green,9
2025501079,green,5
2025501080,red,4
2025501081,red,0
2025501082,red,6
2025501083,red,0
2025501084,green,3
2025501085,red,2
2025501086,green,1
2025501087,red,6
2025501088,red,6
2025501089,red,6
2025501090,green,1
2025501091,green,5
2025501092,green,7
2025501093,green,9
2025501094,red,6
2025501095,green,1
2025501096,green,3
2025501097,red,6
2025501098,green,3
2025501099,red,4
2025501100,green,3
2025501101,green,9
2025501102,red,6
2025501103,green,7
2025501104,green,3
2025501105,red,2
2025501106,red,8
2025501107,green,5
2025501108,red,4
2025501109,red,4
2025501110,red,2
2025501111,green,1
2025501112,red,6
2025501113,green,3
2025501114,red,2
2025501115,red,0
2025501116,green,1
2025501117,red,4
2025501118,red,4
2025501119,green,9
2025501120,red,6
2025501121,red,0
2025501122,red,0
2025501123,green,7
2025501124,green,1
2025501125,red,4
2025501126,green,7
2025501127,green,3
2025501128,red,0
2025501129,red,6
2025501130,red,0
2025501131,green,3
2025501132,red,4
2025501133,red,4
2025501134,green,3
2025501135,red,4
2025501136,green,1
2025501137,green,3
2025501138,green,7
2025501139,green,5
2025501140,red,0
2025501141,red,6
2025501142,red,8
2025501143,green,9
2025501144,red,4
2025501145,green,9
2025501146,green,3
2025501147,red,4
2025501148,red,8
2025501149,red,4
2025501150,red,4
2025501151,red,4
2025501152,red,0
2025501153,red,2
2025501154,red,6
2025501155,red,4
2025501156,green,7
2025501157,green,9
2025501158,green,5
2025501159,red,2
2025501160,green,5
2025501161,green,7
2025501162,red,0
2025501163,red,8
2025501164,red,2
2025501165,green,1
2025501166,red,6
2025501167,green,3
2025501168,red,6
2025501169,green,3
2025501170,red,6
2025501171,red,4
2025501172,red,2
2025501173,green,7
2025501174,green,3
2025501175,red,8
2025501176,green,1
2025501177,green,9
2025501178,green,7
2025501179,green,5
2025501180,red,6
2025501181,green,3
2025501182,red,6
2025501183,green,5
2025501184,red,4
2025501185,green,5
2025501186,red,8
2025501187,green,9
2025501188,green,3
2025501189,red,4
2025501190,red,8
2025501191,green,1
2025501192,red,6
2025501193,red,6
2025501194,red,6
2025501195,red,2
2025501196,red,2
2025501197,red,6
2025501208,green,1
2025501219,red,0
2025501220,green,1
2025501221,red,8
2025501222,red,2
2025501223,green,9
2025501224,green,5
2025501225,red,0
2025501226,green,3
2025501227,green,3
2025501228,red,2
2025501229,red,2
2025501230,green,5
2025501231,green,3
2025501232,green,1
2025501233,red,8
2025501234,green,9
2025501235,green,9
2025501236,green,5
2025501237,red,6
2025501238,red,6
2025501239,green,9
2025501240,red,2
2025501241,green,1
2025501242,red,8
2025501243,green,5
2025501244,green,3
2025501245,green,1
2025501246,green,9
2025501247,green,9
2025501248,green,3
2025501249,green,9
2025501250,red,2
2025501251,green,3
2025501252,green,5
2025501253,green,1
2025501254,red,2
2025501255,green,3
2025501256,red,4
2025501257,red,8
2025501258,red,0
2025501259,green,5
2025501260,red,6
2025501261,red,4
2025501262,red,8
2025501263,red,4
2025501264,red,4
2025501265,green,3
2025501266,green,7
2025501267,green,5
2025501268,red,4
2025501269,green,5
2025501270,red,2
2025501271,red,4
2025501272,red,6
2025501273,red,0
2025501274,green,5
2025501275,red,6
2025501276,red,8
2025501277,red,2
2025501278,red,6
2025501279,green,5
2025501280,red,8
2025501281,green,5
2025501282,green,3
2025501283,green,1
2025501284,red,2
2025501285,green,7
2025501286,red,6
2025501287,red,4
2025501288,green,5
2025501289,red,4
2025501290,red,4
2025501291,red,6
2025501292,green,9
2025501293,green,9
2025501294,red,4
2025501295,red,0
2025501296,green,9
2025501297,green,3
2025501298,red,8
2025501299,green,7
2025501300,red,8
2025501301,red,4
2025501302,green,7
2025501303,green,7
2025501304,green,9
2025501305,green,3
2025501306,red,0
2025501307,red,6
2025501308,green,5
2025501309,red,4
2025501310,red,2
2025501311,green,9
2025501312,green,3
2025501313,green,7
2025501314,green,9
2025501315,red,2
2025501316,green,9
2025501317,green,5
2025501318,red,2
2025501319,green,5
2025501320,green,7
2025501321,green,1
2025501322,red,2
2025501323,green,5
2025501324,red,6
2025501325,red,2
2025501326,green,5
2025501327,red,4
2025501334,green,9
2025501341,red,4
2025501342,green,1
2025501343,red,2
2025501344,green,5
2025501345,red,0
2025501346,red,6
2025501347,green,7
2025501348,green,3
2025501349,green,5
2025501350,green,7
2025501351,green,3
2025501352,green,9
2025501353,red,0
2025501354,green,3
2025501355,red,4
2025501356,red,4
2025501357,green,1
2025501358,red,8
2025501359,green,5
2025501360,red,2
2025501361,red,0
2025501362,green,7
2025501363,green,3
2025501364,green,1
2025501365,green,7
2025501366,green,9
2025501367,green,9
2025501368,red,6
2025501369,red,0
2025501370,red,0
2025501371,red,6
2025501372,red,6
2025501373,green,3
2025501374,green,7
2025501375,green,9
2025501376,green,3
2025501377,red,4
2025501378,red,6
2025501379,green,3
2025501380,green,5
2025501381,green,5
2025501382,green,9
2025501383,red,4
2025501384,green,3
2025501385,red,8
2025501386,red,4
2025501387,green,5
2025501388,green,1
2025501389,red,2
2025501390,green,3
2025501391,green,9
2025501392,red,4
2025501393,green,5
2025501394,green,9
2025501395,red,6
2025501396,red,4
2025501397,red,8
2025501398,green,9
2025501399,red,8
2025501400,green,3
2025501401,red,2
2025501402,red,8
2025501403,green,9
2025501404,red,8
2025501405,red,8
2025501406,red,4
2025501407,red,2
2025501408,red,0
2025501409,green,5
2025501410,green,1
2025501411,red,2
2025501412,red,6
2025501413,red,0
2025501414,green,5
2025501415,green,5
2025501416,red,2
2025501417,red,6
2025501418,red,0
2025501419,green,1
2025501420,red,4
2025501421,green,9
2025501422,red,6
2025501423,red,6
2025501424,green,3
2025501425,green,9
2025501426,red,6
2025501427,red,4
2025501428,green,7
2025501429,red,8
2025501430,green,5
2025501431,red,8
2025501432,green,1
2025501433,green,9
2025501434,green,9
2025501435,green,7
2025501436,green,9
2025501437,green,5
2025501438,green,3
2025501439,red,8
2025501440,red,0
2025600001,green,9
2025600002,red,0
2025600003,green,5
2025600004,red,8
2025600005,red,2
2025600006,red,4
2025600007,red,2
2025600008,green,7
2025600009,green,7
2025600010,green,1
2025600011,red,8
2025600012,green,9
2025600013,red,6
2025600014,red,0
2025600015,green,1
2025600016,red,8
2025600017,green,7
2025600018,red,6
2025600019,red,2
2025600020,red,0
2025600021,green,5
2025600022,red,0
2025600023,green,1
2025600024,red,2
2025600025,green,5
2025600026,green,7
2025600027,red,8
2025600028,green,7
2025600029,green,5
2025600030,red,0
2025600031,green,1
2025600032,green,3
2025600033,red,0
2025600034,red,2
2025600035,red,0
2025600036,green,5
2025600037,green,9
2025600038,red,6
2025600039,green,5
2025600040,red,6
2025600041,red,0
2025600042,green,3
2025600043,red,6
2025600044,green,9
2025600045,red,2
2025600046,green,9
2025600047,green,3
2025600048,red,4
2025600049,red,6
2025600050,red,0
2025600051,red,6
2025600052,green,9
2025600053,green,1
2025600054,red,8
2025600055,green,1
2025600056,red,0
2025600057,green,1
2025600058,green,3
2025600059,green,5
2025600060,green,3
2025600061,green,9
2025600062,red,4
2025600063,red,8
2025600064,green,3
2025600065,green,3
2025600066,green,1
2025600067,green,5
2025600068,green,7
2025600069,green,3
2025600070,red,8
2025600071,green,9
2025600072,red,4
2025600073,red,0
2025600074,green,3
2025600075,green,5
2025600076,green,1
2025600077,green,1
2025600078,red,2
2025600079,green,1
2025600080,green,5
2025600081,green,5
2025600082,red,4
2025600083,red,8
2025600084,green,1
2025600085,red,4
2025600086,green,7
2025600087,red,6
2025600088,red,6
2025600089,red,2
2025600090,green,7
2025600091,green,1
2025600092,red,6
2025600093,red,0
2025600094,green,3
2025600095,green,3
2025600096,green,1
2025600097,red,4
2025600098,green,7
2025600099,red,8
2025600100,green,7
2025600101,green,7
2025600102,red,2
2025600103,green,1
2025600104,green,7
2025600105,green,3
2025600106,red,4
2025600107,red,6
2025600108,red,4
2025600109,red,8
2025600110,green,3
2025600111,green,3
2025600112,red,6
2025600113,red,6
2025600114,red,8
2025600115,green,7
2025600116,green,1
2025600117,green,5
2025600118,red,8
2025600119,green,3
2025600120,green,9
2025600121,green,1
2025600122,red,4
2025600123,red,8
2025600124,red,6
2025600125,green,5
2025600126,red,4
2025600127,green,7
2025600128,red,0
2025600129,red,2
2025600130,red,4
2025600131,green,7
2025600132,green,5
2025600133,green,3
2025600134,green,3
2025600135,red,0
2025600136,red,8
2025600137,green,3
2025600138,green,5
2025600139,red,4
2025600140,green,1
2025600141,red,6
2025600142,green,9
2025600143,red,6
2025600144,green,9
2025600145,red,4
2025600146,green,7
2025600147,red,2
2025600148,green,7
2025600149,red,4
2025600150,red,2
2025600151,green,7
2025600152,red,8
2025600153,red,8
2025600154,green,1
2025600155,green,7
2025600156,red,4
2025600157,green,5
2025600158,red,8
2025600159,red,6
2025600160,green,3
2025600161,green,3
2025600162,red,8
2025600163,red,8
2025600164,red,0
2025600165,green,1
2025600166,green,1
2025600167,red,6
2025600168,green,1
2025600169,green,9
2025600170,green,9
2025600171,green,5
2025600172,green,7
2025600173,red,2
2025600174,green,7
2025600175,red,0
2025600176,red,6
2025600177,green,5
2025600178,green,5
2025600179,green,1
2025600180,red,4
2025600181,red,2
2025600182,green,1
2025600183,green,1
2025600184,green,9
2025600185,green,3
2025600186,green,7
2025600187,green,1
2025600188,green,7
2025600189,green,5
2025600190,red,2
2025600191,red,8
2025600192,green,7
2025600193,green,1
2025600194,green,3
2025600195,green,9
2025600196,red,4
2025600197,red,8
2025600198,red,4
2025600199,green,7
2025600200,red,2
2025600201,red,8
2025600202,green,1
2025600203,green,9
2025600204,green,7
2025600205,green,3
2025600206,green,9
2025600207,green,9
2025600208,red,6
2025600209,red,8
2025600210,green,9
2025600211,red,8
2025600212,red,4
2025600213,red,2
2025600214,red,8
2025600215,red,8
2025600216,green,1
2025600217,red,8
2025600218,green,5
2025600219,green,1
2025600220,green,9
2025600221,green,1
2025600222,red,6
2025600223,green,9
2025600224,green,9
2025600225,red,6
2025600226,green,1
2025600227,red,0
2025600228,red,0
2025600229,green,3
2025600230,red,0
2025600231,green,3
2025600232,red,4
2025600233,red,8
2025600234,red,8
2025600235,red,4
2025600236,red,4
